Differential gene expression between papilliform (positive log2FoldChange) and molariform (negative log2FoldChange) jaw morphotypes within CL Apoyo;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;
MSTRG.45251;241.682.806.030.462;234.371.493.404.676;0.602899961301177;388.740.269.445.127;0.000101322584174539;0.00202236029751219;Son of sevenless homolog 1;;;;;;;;;
MSTRG.50908;582.747.363.223.081;-101.733.461.982.321;0.262108353444395;-388.135.138.180.183;0.000103877624866619;0.00205597061636695;Integrin beta-PS; Integrin beta-3 {ECO:0000305};;;;;;;;
MSTRG.916;440.795.460.538.836;-1.802.411.433.541;0.466161781109618;-386.649.336.470.843;0.000110411466526946;0.00214368869724993;Diphosphomevalonate decarboxylase; Transcription factor 25; Cytochrome b-245 light chain;;;;;;;
MSTRG.46660;267.634.789.175.038;128.277.687.659.528;0.332217373924934;386.125.765.019.482;0.000112804869498661;0.00218526349426568;Rho-related GTP-binding protein RhoH;;;;;;;;;
MSTRG.40046;43.256.449.549.201;280.263.560.679.511;0.726058274678861;386.006.978.301.395;0.00011335464898865;0.00219101773039601;H-2 class II histocompatibility antigen, I-E alpha chain; Mamu class II histocompatibility antigen, DR alpha chain;;;;;;;;
MSTRG.40043;102.998.351.313.046;221.829.897.461.927;0.57650180262985;384.786.129.809.131;0.000119153477737557;0.00226274150822976;H-2 class II histocompatibility antigen, I-A beta chain; DLA class II histocompatibility antigen, DR-1 beta chain; H-2 class II histocompatibility antigen, E-S beta chain;;;;;;;
MSTRG.48890;439.166.766.187.562;308.314.905.054.364;0.801584089041792;384.632.017.113.665;0.000119905060211066;0.00227452290365367;Signal peptide peptidase-like 3 {ECO:0000250|UniProtKB:Q8TCT6};;;;;;;;;
MSTRG.4834;474.667.780.191.504;148.700.485.322.664;0.387625810987335;383.618.637.117.852;0.000124959594924107;0.00233582310726072;DNA-binding protein SATB1 {ECO:0000305}; DNA-binding protein SATB1;;;;;;;;
MSTRG.9637;133.456.462.554.763;58.821.277.163.602;153.337.649.019.206;383.606.228.084.497;0.000125022715626828;0.00233582310726072;NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305};;;;;;;;;
MSTRG.49065;317.621.410.280.189;500.599.593.449.385;130.869.661.127.924;382.517.681.435.772;0.00013067826314672;0.00241288575765477;Volume-regulated anion channel subunit LRRC8A {ECO:0000305};;;;;;;;;
MSTRG.48733;802.967.715.741.895;399.830.452.296.332;104.694.635.684.019;38.190.156.514.138;0.000133985262348908;0.00245304802387051;Tyrosine-protein kinase ABL1; Ras-related protein Rab-14;;;;;;;;
MSTRG.54502;235.704.172.848.575;575.159.028.892.193;150.803.692.849.453;381.395.851.802.099;0.000136758433118077;0.00248455495729883;NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305};;;;;;;;;
MSTRG.33380;439.524.128.723.712;115.017.476.515.884;0.301583256013669;381.378.853.840.186;0.000136852577241918;0.00248455495729883;Major facilitator superfamily domain-containing protein 6;;;;;;;;;
MSTRG.46755;21.997.406.805.139;-101.354.114.084.426;0.265821246796931;-381.286.730.484.164;0.00013736387038157;0.00249122885426323;Recombining binding protein suppressor of hairless; Suppressor of hairless protein homolog; Suppressor of hairless homolog; Stromal interaction molecule 2;;;;;;
MSTRG.37256;535.637.515.236.861;326.711.831.463.547;0.858362710485622;380.622.116.353.015;0.000141106212281565;0.00254151707762607;NACHT, LRR and PYD domains-containing protein 12;;;;;;;;;
MSTRG.46252;155.056.447.484.277;162.557.844.692.666;0.427361076563251;380.375.877.934.235;0.000142516964503183;0.00255528348558034;Endothelin-1 receptor {ECO:0000305}; C-X-C chemokine receptor type 4; P2Y purinoceptor 4;;;;;;;
MSTRG.50674;199.269.842.944.837;551.410.559.531.796;145.173.806.744.808;379.827.857.308.368;0.000145704512615622;0.00259437734225342;Protein kinase C epsilon type;;;;;;;;;
MSTRG.54565;723.468.937.124.775;398.121.783.468.451;105.255.602.190.444;378.242.844.260.309;0.000155305747426689;0.00272815709106782;;;;;;;;;;
MSTRG.40062;176.078.095.829.992;29.093.612.373.737;0.770126118301813;377.777.245.600.897;0.000158237352435354;0.00276007969469233;NACHT, LRR and PYD domains-containing protein 12; Ribonuclease inhibitor;;;;;;;;
MSTRG.6167;79.276.658.791.798;-129.503.591.976.674;0.344187342094501;-376.259.019.836.693;0.000168162629081856;0.00288813640901998;H-2 class II histocompatibility antigen, A-B alpha chain; Rano class II histocompatibility antigen, B alpha chain; DLA class II histocompatibility antigen, DR-1 beta chain; H-2 class II histocompatibility antigen, A-U alpha chain; HLA class II histocompatibility antigen, DP alpha 1 chain;;;;;
MSTRG.20600;200.235.526.751.551;112.624.830.133.223;0.299486395488136;376.059.920.684.059;0.000169506832406668;0.00290406073148893;Dual specificity protein phosphatase 22-B; Interferon regulatory factor 4;;;;;;;;
MSTRG.32679;21.789.619.956.373;340.194.508.514.551;0.912519131916809;372.808.083.267.196;0.000192943497800607;0.00321041685687805;NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305}; Ret finger protein-like 1; Vespryn; NACHT, LRR and PYD domains-containing protein 9A; NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; NLR family CARD domain-containing protein 3;;;;
MSTRG.1110;656.370.285.186.266;126.237.684.443.993;0.338649698928554;372.767.744.496.433;0.000193252491451713;0.00321247526058466;Switch-associated protein 70;;;;;;;;;
MSTRG.40412;370.745.989.672.454;362.614.942.706.164;0.97427720733062;372.188.674.822.515;0.000197739712990112;0.00324967880931048;NACHT, LRR and PYD domains-containing protein 12; E3 ubiquitin-protein ligase TRIM11; E3 ubiquitin-protein ligase TRIM69; NACHT, LRR and PYD domains-containing protein 4E; Ret finger protein-like 2; Tripartite motif-containing protein 16-like protein;;;;
MSTRG.49653;777.909.418.910.216;193.524.346.641.999;0.520276573210209;371.964.367.812.903;0.000199504032800022;0.00327247012363933;Protein phosphatase 3 catalytic subunit alpha {ECO:0000312|RGD:3382}; Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform; Protein phosphatase 3 catalytic subunit alpha {ECO:0000312|HGNC:HGNC:9314};;;;;;;
MSTRG.24696;145.174.454.923.179;131.431.784.563.951;0.35338417996598;371.923.226.944.125;0.000199829233227119;0.00327470628137221;Tyrosine-protein kinase ITK/TSK;;;;;;;;;
MSTRG.20674;155.207.599.054.161;-130.989.483.054.082;0.352305672807811;-371.806.340.812.284;0.000200755886166179;0.00328105919020996;Pre-B-cell leukemia transcription factor 1;;;;;;;;;
MSTRG.43023;174.206.827.442.492;-61.005.069.952.831;164.237.559.073.777;-371.444.085.609.109;0.000203653491749018;0.00332167849477373;Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305};;;;;;;;;
MSTRG.32950;306.401.467.182.656;231.753.298.295.003;0.626128753331055;370.136.808.223.639;0.000214440135320187;0.00345535600946227;NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 1a; NACHT, LRR and PYD domains-containing protein 10; NACHT, LRR and PYD domains-containing protein 1b allele 4 {ECO:0000303|PubMed:16429160}; NACHT, LRR and PYD domains-containing protein 9A; NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 4E; NACHT, LRR and PYD domains-containing protein 4C; E3 ubiquitin-protein ligase Midline-1; Dynein regulatory complex subunit 5 {ECO:0000303|PubMed:23427265, ECO:0000303|PubMed:25411337}
MSTRG.26426;822.550.485.106.375;271.974.856.929.553;0.739648278326735;367.708.362.067.477;0.000235915721774098;0.00368496106677416;Cysteinyl leukotriene receptor 2; P2Y purinoceptor 1; C-C chemokine receptor type 1;;;;;;;
MSTRG.45222;316.913.728.762.644;149.775.759.345.235;0.407540460523146;367.511.385.625.301;0.000237743368020146;0.00370212500240838;E3 ubiquitin-protein ligase pellino homolog 1; Vacuolar protein sorting-associated protein 54;;;;;;;;
MSTRG.30532;874.165.147.137.645;166.932.883.559.759;0.454503277455981;367.286.424.190.696;0.000239846920547534;0.00371825802632357;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 {ECO:0000305}; 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 {ECO:0000305};;;;;;;;
MSTRG.43183;74.125.611.023.693;-145.732.782.599.443;0.396793160140698;-367.276.448.383.756;0.000239940604715347;0.00371825802632357;60S ribosomal protein L22;;;;;;;;;
MSTRG.40311;654.847.037.774.074;266.663.760.302.184;0.728238661474563;36.617.632.983.428;0.000250485243063601;0.00381599455814183;E3 ubiquitin-protein ligase TRIM11; NACHT, LRR and PYD domains-containing protein 10; Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 4C;;;;;;
MSTRG.18623;120.440.384.118.751;149.228.574.977.191;0.408142044450025;365.629.018.148.027;0.000255891674823343;0.00386215750278624;Ubiquitin carboxyl-terminal hydrolase 15;;;;;;;;;
MSTRG.35060;883.786.451.055.684;0.900733130242019;0.246407637488127;365.545.946.312.406;0.000256721773631427;0.00387047140106232;Receptor-type tyrosine-protein phosphatase C;;;;;;;;;
MSTRG.20344;274.560.149.398.366;479.781.151.860.533;13.134.474.972.554;36.528.384.489.147;0.000259357414882601;0.00388991250798836;;;;;;;;;;
MSTRG.6787;187.381.119.480.126;320.768.501.359.428;0.878962406582537;364.939.955.289.551;0.000262853995477661;0.00392819372510201;Semaphorin-4B {ECO:0000305|Ref.1}; Semaphorin-4A; Semaphorin-like protein A3;;;;;;;
MSTRG.40958;358.250.192.399.613;194.354.150.072.769;0.533744112387558;364.133.571.803.497;0.0002712271764317;0.00401582987615099;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4; Inactive phospholipase C-like protein 2;;;;;;;;
MSTRG.53876;276.234.945.734.472;341.479.519.460.802;0.938760529063906;363.755.727.780.025;0.000275235997071455;0.00405707251248777;Interleukin-1 receptor type 1;;;;;;;;;
MSTRG.6786;556.542.908.538.674;119.771.883.186.362;0.329460924246307;363.538.964.325.919;0.000277560795190325;0.00407480869348845;Disintegrin and metalloproteinase domain-containing protein 9; Snake venom metalloproteinase atroxlysin-1; Disintegrin and metalloproteinase domain-containing protein 18; Disintegrin and metalloproteinase domain-containing protein 15; Snake venom metalloproteinase H4; Disintegrin and metalloproteinase domain-containing protein 12;;;;
MSTRG.15378;419.716.900.834.947;-109.095.081.684.799;0.301583512062324;-361.740.868.851.788;0.000297567256349336;0.00426734581520661;Platelet-activating factor acetylhydrolase homolog 2; Platelet-activating factor acetylhydrolase;;;;;;;;
MSTRG.50568;859.431.259.946.359;214.067.250.122.741;0.594922003474647;359.824.059.074.096;0.000320377184420337;0.00448818259724123;Disintegrin and metalloproteinase domain-containing protein 8; Zinc metalloproteinase-disintegrin-like crotastatin; Zinc metalloproteinase/disintegrin;;;;;;;
MSTRG.9026;152.369.744.577.333;174.844.809.458.033;0.486066301647062;359.713.909.122.196;0.00032173645862569;0.00449860219326791;Dedicator of cytokinesis protein 8;;;;;;;;;
MSTRG.34784;138.663.407.009.205;593.662.660.175.058;165.174.749.645.137;359.414.899.341.751;0.000325453568414966;0.00453289950207553;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform;;;;;;;;;
MSTRG.13293;26.253.234.792.005;10.815.474.045.825;0.301307898769694;358.950.896.740.076;0.000331301434738252;0.00457776767019408;Psychosine receptor; G-protein coupled receptor 4;;;;;;;;
MSTRG.38380;414.646.280.414.582;206.001.117.154.811;0.575760218769886;357.789.771.573.544;0.000346368936633775;0.00470638293366489;Mitogen-activated protein kinase kinase 7; Receptor-interacting serine/threonine-protein kinase 3 {ECO:0000305};;;;;;;;
MSTRG.4975;372.169.073.683.459;14.844.800.285.064;0.415034265289536;357.676.498.703.257;0.000347872659977119;0.00471962690667085;SWI/SNF complex subunit SMARCC1 {ECO:0000305}; SWI/SNF complex subunit SMARCC1;;;;;;;;
MSTRG.36388;971.323.514.518.922;361.652.196.758.546;10.147.926.133.206;356.380.399.316.419;0.000365518937428058;0.00491649909784924;Vascular cell adhesion protein 1;;;;;;;;;
MSTRG.45447;106.151.414.215.919;-313.871.191.318.829;0.883051388007766;-355.439.327.293.225;0.000378852240932255;0.00503722404392902;Histone H3; Histone H2A; Histone H1.3; Histone H1.5;;;;;;
MSTRG.41430;371.635.377.432.438;-122.977.129.614.958;0.346142022802452;-355.279.398.379.037;0.000381162848651801;0.00505631328991961;DnaJ homolog subfamily A member 3, mitochondrial;;;;;;;;;
MSTRG.48354;689.597.462.869.185;207.408.314.804.073;0.583997842705547;355.152.535.912.103;0.000383005082560061;0.00507686706531065;Thymic stromal cotransporter homolog;;;;;;;;;
MSTRG.34629;958.121.711.067.323;138.122.172.707.418;0.389238164645187;354.852.594.768.873;0.000387393827457711;0.00510770660111163;GDP-L-fucose synthase {ECO:0000305};;;;;;;;;
MSTRG.30155;638.243.881.001.182;310.736.821.371.987;0.878156566170397;353.851.275.891.606;0.000402387834677821;0.00525742296732785;EF-hand calcium-binding domain-containing protein 4B;;;;;;;;;
MSTRG.51529;38.805.926.207.986;230.335.122.543.304;0.652272445935278;353.127.169.449.925;0.000413566708460518;0.00535505570671282;Protein unc-13 homolog D;;;;;;;;;
MSTRG.53432;210.750.695.662.966;3.201.546.726.948;0.906873920370235;353.031.072.460.542;0.000415071883032796;0.00537053455822583;NACHT, LRR and PYD domains-containing protein 4A; Protein NLRC3;;;;;;;;
MSTRG.22648;362.618.856.073.875;213.147.750.791.559;0.608852178790048;350.081.281.166.047;0.000463841520895353;0.00580236961708775;mRNA decay activator protein ZFP36L1 {ECO:0000305};;;;;;;;;
MSTRG.50871;187.984.682.859.544;113.224.916.149.383;0.323649127131687;349.838.472.152.942;0.000468085392299505;0.0058344101593737;Glycerol-3-phosphate acyltransferase 1, mitochondrial {ECO:0000305};;;;;;;;;
MSTRG.10410;119.289.162.671.171;263.800.876.931.668;0.755042190903133;349.385.610.645.316;0.000476097554897581;0.00589897707042426;Disintegrin and metalloproteinase domain-containing protein 8;;;;;;;;;
MSTRG.4824;457.441.037.880.825;117.599.761.230.114;0.336602592869626;349.372.713.464.698;0.000476327598257813;0.00589897707042426;;;;;;;;;;
MSTRG.14944;103.050.191.343.798;-130.756.830.742.371;0.376419920600535;-34.736.958.270.902;0.000513342614978824;0.00621097994312829;Scavenger receptor cysteine-rich type 1 protein M160; Scavenger receptor cysteine-rich domain-containing group B protein {ECO:0000250|UniProtKB:Q8WTU2}; T-cell differentiation antigen CD6 {ECO:0000305}; Scavenger receptor cysteine-rich domain-containing group B protein {ECO:0000303|PubMed:12466895, ECO:0000312|HGNC:HGNC:14461}; Deleted in malignant brain tumors 1 protein; Scavenger receptor cysteine-rich domain-containing protein SCART1 {ECO:0000305}; Scavenger receptor cysteine-rich type 1 protein M130;;;
MSTRG.23129;849.246.866.932.922;119.686.875.671.723;0.345547409618683;34.636.889.856.532;0.000532822169945481;0.00640198945427217;Transcriptional repressor protein YY1; Zinc finger protein 42 homolog; Oocyte zinc finger protein XlCOF26;;;;;;;
MSTRG.6598;108.240.844.903.256;-171.181.790.149.503;0.494916944124623;-345.879.833.337.044;0.000542591000093689;0.00649685273454722;Endoribonuclease ZC3H12A {ECO:0000305};;;;;;;;;
MSTRG.14449;220.861.088.422.135;174.599.764.388.292;0.505077487678571;345.689.064.841.881;0.00054644654275721;0.00653003443543079;Thrombospondin-1;;;;;;;;;
MSTRG.40045;974.295.609.552.081;283.960.748.256.549;0.821924864453123;345.482.611.048.013;0.000550647841673377;0.00657063474117894;H-2 class II histocompatibility antigen, I-A beta chain; SLA class II histocompatibility antigen, DQ haplotype C beta chain;;;;;;;;
MSTRG.27536;190.189.631.102.351;211.190.715.405.325;0.612035744650808;345.062.714.475.636;0.00055928565622772;0.00663262291906717;Large neutral amino acids transporter small subunit 1;;;;;;;;;
MSTRG.24946;375.713.162.120.305;-0.770307567911584;0.223295794303424;-344.971.821.038.803;0.00056117199191932;0.00664136518491275;Copper-transporting ATPase 1;;;;;;;;;
MSTRG.41162;520.177.716.595.029;0.916308850080526;0.266752294014368;343.505.518.281.005;0.000592433176971218;0.00693090851708973;Angiopoietin-related protein 2; Vascular cell adhesion protein 1;;;;;;;;
MSTRG.28330;356.096.624.622.584;291.409.226.893.886;0.848517116678543;343.433.527.934.694;0.000594008972652741;0.00694465783402105;Forkhead box protein P3;;;;;;;;;
MSTRG.11433;365.025.068.415.878;429.639.338.658.462;125.253.946.362.227;343.014.612.422.647;0.000603256283251425;0.00701963586510954;CD48 antigen;;;;;;;;;
MSTRG.28168;21.113.773.701.741;-130.181.025.818.274;0.37977167621987;-342.787.611.530.318;0.000608322991615408;0.00705964125075498;RAC-beta serine/threonine-protein kinase A; Protein kinase C zeta type;;;;;;;;
MSTRG.36927;320.949.610.824.298;276.536.685.401.165;0.808611587007713;341.989.516.158.797;0.000626452734985176;0.00720840178049182;Low affinity immunoglobulin gamma Fc region receptor III;;;;;;;;;
MSTRG.25028;374.100.684.067.632;-100.002.643.003.198;0.29296439050278;-341.347.434.176.473;0.000641401978882918;0.00731869938650101;T-cell surface antigen CD2;;;;;;;;;
MSTRG.4129;178.850.729.594.948;259.734.101.797.439;0.761159516108739;34.123.478.232.956;0.000644058760140746;0.00733685333989504;Transient receptor potential cation channel subfamily V member 1;;;;;;;;;
MSTRG.7859;254.046.896.511.849;102.361.004.418.586;0.300304772525918;340.857.068.496.145;0.000653041642017127;0.00741968282391412;LIM domain kinase 1; Probable serine/threonine-protein kinase DDB_G0280461;;;;;;;;
MSTRG.40163;420.770.434.227.365;267.402.448.733.521;0.78673309046793;339.889.667.758.193;0.000676582707267501;0.00761726686922333;;;;;;;;;;
MSTRG.30298;225.145.718.100.317;105.404.110.683.365;0.310910148889722;339.017.915.818.347;0.000698469603958808;0.00779283525961249;Interleukin-34;;;;;;;;;
MSTRG.46387;788.888.282.761.533;-152.864.284.110.491;0.451769765869339;-338.367.672.339.326;0.0007152216202343;0.00793263258833175;Calcium uniporter protein, mitochondrial; Calcium uniporter protein, mitochondrial {ECO:0000305}; Calcium uniporter regulatory subunit MCUb, mitochondrial {ECO:0000305};;;;;;;
MSTRG.5019;919.056.142.902.767;181.111.540.840.273;0.536398088791021;337.643.896.622.521;0.000734306617412909;0.00806295638550033;Cathepsin S;;;;;;;;;
MSTRG.35169;372.747.608.438.591;104.161.876.104.442;0.308554185067893;337.580.500.104.133;0.000736000635096644;0.00807644241221874;Interleukin-12 receptor subunit beta-1;;;;;;;;;
MSTRG.39800;348.537.205.104.753;272.349.703.405.447;0.810496127970764;336.028.383.118.039;0.000778624361070893;0.00842745664912556;;;;;;;;;;
MSTRG.18113;96.197.752.037.334;0.966162728714459;0.288229303614906;33.520.628.076.225;0.000802118192082503;0.00858016607893752;Beta-2-microglobulin;;;;;;;;;
MSTRG.48936;139.110.405.795.101;-171.178.435.879.338;0.511029998928313;-33.496.748.965.485;0.000809064597229128;0.0086323458380053;Programmed cell death 1 ligand 1 {ECO:0000303|PubMed:28813417};;;;;;;;;
MSTRG.46864;214.829.888.079.645;248.509.497.139.706;0.743841459437007;334.089.333.132.622;0.000835093001995295;0.00881977225598852;GTPase IMAP family member 3;;;;;;;;;
MSTRG.24988;586.092.823.430.983;280.213.112.759.443;0.839612298335277;333.741.077.060.246;0.000845628693766034;0.0088964056334224;Mitogen-activated protein kinase HOG1; Mitogen-activated protein kinase 9;;;;;;;;
MSTRG.13295;568.501.433.197.848;164.218.953.807.653;0.492170973056665;33.366.241.163.667;0.000848025542883016;0.00890059310962581;Serine/threonine-protein kinase D3; Serine/threonine-protein kinase D2; Myosin light chain kinase A;;;;;;;
MSTRG.16119;237.422.869.439.847;-14.766.343.600.589;0.443210020167119;-333.168.090.266.125;0.000863231745558796;0.00900524187996294;CD276 antigen;;;;;;;;;
MSTRG.8435;226.449.104.808.834;354.299.434.053.943;106.443.696.665.262;332.851.493.469.007;0.000873103236610047;0.00905374636145036;Early growth response protein 3;;;;;;;;;
MSTRG.15829;940.206.675.396.687;137.856.481.500.981;0.414660141381221;332.456.553.556.813;0.000885564176542979;0.00914467641030504;ADAM 17-like protease; Disintegrin and metalloproteinase domain-containing protein 17;;;;;;;;
MSTRG.7852;436.677.551.824.482;-166.405.051.612.935;0.500977089825079;-332.161.000.957.223;0.000894996930032063;0.00922559855701302;Caspase recruitment domain-containing protein 9 {ECO:0000303|PubMed:16862125};;;;;;;;;
MSTRG.44186;681.317.639.464.005;-210.601.896.539.006;0.637321327649749;-330.448.531.066.179;0.000951509620582626;0.00962651922577605;Interleukin-10;;;;;;;;;
MSTRG.46704;569.232.712.659.552;-166.414.246.600.227;0.505410805559634;-329.265.312.038.509;0.000992468389893333;0.00992353918337405;;;;;;;;;;
