Differential gene expression between A. astorquii (positive log2FoldChange) and A. chancho (negative log2FoldChange) from CL Apoyo;;;;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;;;;
MSTRG.56411;228.657.624.697.055;-482.314.868.605.836;141.184.170.466.171;-341.621.066.308.849;0.000634991031677695;0.00638020207738173;NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 5;;;;;;;;;;;
MSTRG.51761;370.621.433.571.606;-402.646.736.249.452;118.643.497.510.661;-339.375.308.969.857;0.000689418210863949;0.006757822485781;;;;;;;;;;;;;
MSTRG.40249;56.702.978.391.364;-318.607.120.637.741;0.942339990559472;-338.102.090.359.746;0.000722170487256556;0.00692398160469292;;;;;;;;;;;;;
MSTRG.6787;187.381.119.480.126;-354.506.335.166.051;104.872.728.670.393;-338.034.815.781.554;0.000723940633940827;0.00693484916537973;Semaphorin-4A; Semaphorin-like protein A3; Semaphorin-4B {ECO:0000305|Ref.1};;;;;;;;;;
MSTRG.42054;117.266.771.685.929;-111.780.019.461.041;0.331355364596023;-337.341.813.063.201;0.000742411202835442;0.00706758687445039;Caspase recruitment domain-containing protein 11 {ECO:0000303|PubMed:12356734}; Caspase recruitment domain-containing protein 11 {ECO:0000303|PubMed:11278692};;;;;;;;;;;
MSTRG.44186;681.317.639.464.005;254.052.683.849.054;0.757650196911208;335.316.594.498.064;0.000798927904284968;0.00744988112186038;Interleukin-10;;;;;;;;;;;;
MSTRG.29152;186.415.762.104.786;254.330.134.983.697;0.760292727338286;334.516.069.717.098;0.000822349091145698;0.00760291756709062;Peroxisome proliferator-activated receptor alpha;;;;;;;;;;;;
MSTRG.32232;152.066.165.234.649;-153.207.447.120.569;0.458247332472107;-334.333.527.473.168;0.000827778224285025;0.00764277428997407;T-cell differentiation antigen CD6;;;;;;;;;;;;
MSTRG.34460;412.279.083.956.876;125.121.546.491.639;0.375533442740445;333.183.499.127.449;0.000862753948406257;0.00788790234978048;Pre-B-cell leukemia transcription factor 1;;;;;;;;;;;;
MSTRG.46453;518.527.109.390.405;13.533.152.591.655;0.406780205143877;332.689.556.190.875;0.000878192803922148;0.007972817212332;Programmed cell death protein 4;;;;;;;;;;;;
MSTRG.37840;105.669.705.970.767;-214.379.355.508.416;0.648152498511153;-330.754.499.906.825;0.000941175895974958;0.00835794118751123;RING finger protein 39;;;;;;;;;;;;
MSTRG.604;432.015.063.052.765;-111.747.548.868.559;0.33866458649753;-329.965.261.571.197;0.000968045757753733;0.00848676952036962;Nuclear factor of activated T-cells, cytoplasmic 4; Nuclear factor of activated T-cells, cytoplasmic 3;;;;;;;;;;;
MSTRG.19218;936.214.316.782.514;141.778.751.080.833;0.429798934333453;329.872.272.253.789;0.000971257967447413;0.00850166065012411;KICSTOR complex protein ITFG2 {ECO:0000305};;;;;;;;;;;;
MSTRG.29186;551.465.706.601.201;-362.483.000.240.389;110.133.029.706.996;-329.131.960.870.192;0.000997185485954214;0.00866558815798272;DCC-interacting protein 13-beta {ECO:0000250|UniProtKB:Q8NEU8}; DCC-interacting protein 13-beta {ECO:0000305};;;;;;;;;;;
MSTRG.37349;293.494.834.443.264;336.006.070.730.209;102.507.703.726.606;327.786.164.858.746;0.00104596647929038;0.00891929917815932;High affinity immunoglobulin epsilon receptor subunit alpha; Low affinity immunoglobulin gamma Fc region receptor III;;;;;;;;;;;
MSTRG.8746;59.178.122.348.351;-295.755.349.024.573;0.904328116369795;-327.044.292.520.519;0.00107379208343125;0.00909673031966643;Squamous cell carcinoma antigen recognized by T-cells 3 {ECO:0000305};;;;;;;;;;;;
MSTRG.15922;811.695.529.152.874;156.309.784.056.345;0.478697949706775;3.265.311.333.631;0.00109343820492254;0.00920761306993741;;;;;;;;;;;;;
MSTRG.19478;206.271.474.785.676;-434.253.789.308.071;133.136.929.020.182;-326.170.802.123.763;0.00110743145353774;0.00928300314398103;;;;;;;;;;;;;
MSTRG.30532;874.165.147.137.645;-180.853.334.893.494;0.554494721762337;-326.158.803.313.207;0.00110790025653091;0.00928300314398103;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 {ECO:0000305}; 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 {ECO:0000305};;;;;;;;;;;
MSTRG.41192;168.276.534.968.397;-421.636.557.779.806;130.310.977.473.811;-323.561.810.335.236;0.00121379660199026;0.00991875496776714;Pre-B-cell leukemia transcription factor 1; Pre-B-cell leukemia transcription factor 2 {ECO:0000250|UniProtKB:P40425};;;;;;;;;;;
